"logFC","logCPM","LR","PValue","FDR","gene","avg_log2FC"
-2.16562759061852,9.54055504797359,156.91081254157,5.35350976273567e-36,3.44766028720177e-32,"VEGFA",-2.16562759061852
-1.40980988427979,9.29594522909091,53.5376791353159,2.53680407245809e-13,8.16850911331506e-10,"ATP2B4",-1.40980988427979
-1.45589571867194,9.08175528914821,52.5301345223799,4.23696923151495e-13,9.09536061698543e-10,"TPI1",-1.45589571867194
1.00680620489271,9.2614529522311,51.2058992109105,8.31683189241088e-13,1.31378168376428e-09,"LINC02256",1.00680620489271
-1.14880985094405,9.840477994624,50.8052275107375,1.02001683522071e-12,1.31378168376428e-09,"EEF1A1",-1.14880985094405
-1.47380220640941,9.25924665676342,49.4524493096334,2.03238636360755e-12,2.18142803027211e-09,"S100A10",-1.47380220640941
-1.66251003834793,9.09206432160242,48.8648016637271,2.74228089631374e-12,2.52289842460864e-09,"PTGS2",-1.66251003834793
-1.46280676769211,9.20298324739413,46.831507688796,7.73596230792027e-12,6.05351587700729e-09,"STC2",-1.46280676769211
0.657164600653311,10.5286706369914,46.6562016942853,8.45988243681142e-12,6.05351587700729e-09,"GLS",0.657164600653311
-1.17065133067236,9.61251522157131,46.2623905253942,1.0343038646537e-11,6.12446686022765e-09,"ATP13A3",-1.17065133067236
-1.84013191188738,9.14722887857113,46.2401627906844,1.04610458792708e-11,6.12446686022765e-09,"RIGI",-1.84013191188738
-0.942790854234126,10.2117028689105,45.298628132068,1.69167586569998e-11,9.07866047925654e-09,"SORBS2",-0.942790854234126
-1.16539624710149,9.3182282390689,44.5557884090907,2.47211531132684e-11,1.22464789268806e-08,"ENO1",-1.16539624710149
-1.36989949157549,9.04367730670494,44.2802469587453,2.84573248251536e-11,1.30903694195707e-08,"PLCG2",-1.36989949157549
-1.20588731510605,9.14180398029265,43.3252096430916,4.63572330427492e-11,1.99027053863537e-08,"STRN",-1.20588731510605
0.774841030667812,11.1911306314304,42.6272850746657,6.62290714108748e-11,2.60061424132218e-08,"COL8A1",0.774841030667812
1.36586651365693,9.0940821400638,42.5570679452965,6.86497548175109e-11,2.60061424132218e-08,"NHSL2",1.36586651365693
1.52179841255796,9.14490779155361,41.4256347796015,1.22441182427176e-10,4.25803922086404e-08,"RANBP3L",1.52179841255796
-1.1967009791574,9.50443698542326,41.3754474186608,1.25625380739778e-10,4.25803922086404e-08,"GAPDH",-1.1967009791574
0.658122611397567,11.9087630436298,41.0354962028703,1.49489404779475e-10,4.81355883389909e-08,"CALD1",0.658122611397567
-0.673994866762077,12.1729670847772,40.0966602939684,2.41701855012119e-10,7.24802206591065e-08,"COL1A1",-0.673994866762077
-1.15867914486999,9.01418621211877,40.0495384130718,2.47603238276451e-10,7.24802206591065e-08,"RAB12",-1.15867914486999
-0.880436700388473,9.72250733465183,39.8805132015229,2.69983355884949e-10,7.55953396477858e-08,"GRB10",-0.880436700388473
-0.792571710630938,9.54271401055782,39.4759578912287,3.32123360339728e-10,8.91197683578269e-08,"ANXA5",-0.792571710630938
0.357029322393061,17.0632687518982,39.3135020203117,3.60936804511458e-10,9.29773208421515e-08,"MALAT1",0.357029322393061
-1.8044386091318,9.3616062897225,38.4031343983062,5.75399061408551e-10,1.42521921364272e-07,"SLIT2",-1.8044386091318
-1.09098882793546,9.27677293632456,38.2788533524705,6.13235992726634e-10,1.4626814048739e-07,"LDHA",-1.09098882793546
-1.02090420967336,9.51554685336338,37.2551023286567,1.03643466104418e-09,2.3837997204016e-07,"ANK2",-1.02090420967336
-1.23319149877282,9.15720809451999,37.1471679940908,1.09541718820667e-09,2.43258161794861e-07,"C1orf21",-1.23319149877282
-1.10195774861051,9.15786700631287,36.3314855219074,1.6645295544332e-09,3.57319011018327e-07,"PGK1",-1.10195774861051
