"x"
"CCND1"
"LOXL2"
"IGFBP3"
"PGK1"
"IGFBP5"
"BNIP3"
"ATP2B4"
"LRRTM4"
"STC2"
"S100A10"
"PTGS2"
"SLIT2"
"VEGFA"
"ANK2"
"H3-3A"
"TNNT2"
"ACTC1"
"MTSS1"
"PENK"
"SLC1A3"
"PNPT1"
