"x"
"NIBAN1"
"IGFBP3"
"IGFBP5"
"PARP14"
"GAPDH"
"SLIT2"
"PGK1"
"EEF1A1"
"ENO1"
"S100A10"
"RIGI"
"VEGFA"
"LDHA"
"TPI1"
"CCND1"
"PNPT1"
"LOXL2"
"H3-3A"
"ATP2B4"
"STC2"
"PLCG2"
"PTGS2"
